Species	Status	min_age	max_age
Kuehneosuchus latissimus	extinct	201.4	205.7
Kuehneosaurus latus	extinct	201.4	205.7
Trilophosaurus buettneri	extinct	205.7	237
Trilophosaurus buettneri	extinct	205.7	237
Procolophon trigoniceps	extinct	246.7	251.902
Araeoscelis casei	extinct	283.3	290.1
Clevosaurus hudsoni	extinct	227.3	237
Planocephalosaurus robinsonae	extinct	227.3	237
Sigmala sigmala	extinct	227.3	237
Clevosaurus minor	extinct	227.3	237
Planocephalosaurus robinsonae	extinct	227.3	237
Sigmala sigmala	extinct	227.3	237
Planocephalosaurus robinsonae	extinct	227.3	237
Clevosaurus minor	extinct	227.3	237
Sigmala sigmala	extinct	227.3	237
Sigmala sigmala	extinct	227.3	237
Pelecymala robustus	extinct	227.3	237
Planocephalosaurus robinsonae	extinct	227.3	237
Planocephalosaurus robinsonae	extinct	227.3	237
Planocephalosaurus robinsonae	extinct	227.3	237
Clevosaurus minor	extinct	227.3	237
Hyperodapedon mariensis	extinct	205.7	237
Trilophosaurus buettneri	extinct	205.7	227.3
Lewisuchus admixtus	extinct	237	241.464
Lagerpeton chanarensis	extinct	237	241.464
Postosuchus kirkpatricki	extinct	205.7	227.3
Desmatosuchus smalli	extinct	205.7	227.3
Trilophosaurus buettneri	extinct	205.7	227.3
Efraasia minor	extinct	205.7	227.3
Plateosaurus trossingensis	extinct	205.7	227.3
Plateosaurus trossingensis	extinct	205.7	227.3
Proganochelys quenstedtii	extinct	205.7	227.3
Proganochelys quenstedtii	extinct	201.4	205.7
Elachistosuchus huenei	extinct	201.4	205.7
Poposaurus langstoni	extinct	205.7	237
Otischalkia elderae	extinct	205.7	237
Trilophosaurus buettneri	extinct	205.7	237
Longosuchus meadei	extinct	205.7	237
Trilophosaurus buettneri	extinct	205.7	237
Otischalkia elderae	extinct	205.7	237
Eubrontes giganteus	extinct	201.4	205.7
Grallator variabilis	extinct	201.4	205.7
Rotodactylus lucasi	extinct	237	246.7
Brachychirotherium pachydactylum	extinct	237	246.7
Coelurosaurichnus perriauxi	extinct	237	246.7
Chirotherium ferox	extinct	237	246.7
Anchisauripus bibractensis	extinct	237	246.7
Eoraptor lunensis	extinct	227.3	233.6
Herrerasaurus ischigualastensis	extinct	227.3	233.6
Saurosuchus galilei	extinct	227.3	233.6
Herrerasaurus ischigualastensis	extinct	227.3	237
Agnosphitys cromhallensis	extinct	227.3	237
Saturnalia tupiniquim	extinct	205.7	237
Pisanosaurus mertii	extinct	227.3	233.6
Bradysaurus seeleyi	extinct	259.51	264.28
Arcticodactylus cromptonellus	extinct	205.7	227.3
Aetosaurus ferratus	extinct	205.7	227.3
Plateosaurus longiceps	extinct	205.7	227.3
Issi saaneq	extinct	205.7	227.3
Pantydraco caducus	extinct	227.3	237
Eumetabolodon bathycephalus	extinct	241.464	249.9
Eumetabolodon bathycephalus	extinct	241.464	249.9
Youngetta dongshengensis	extinct	246.7	251.902
Belebey vegrandis	extinct	264.28	266.9
Rothianiscus robusta	extinct	264.28	274.4
Rothianiscus robusta	extinct	264.28	274.4
Rothianiscus robusta	extinct	264.28	274.4
Rothianiscus robusta	extinct	264.28	274.4
Rothianiscus robusta	extinct	264.28	274.4
Rothianiscus robusta	extinct	264.28	274.4
Rothianiscus robusta	extinct	264.28	274.4
Rothianiscus robusta	extinct	264.28	274.4
Rothianiscus robusta	extinct	264.28	274.4
Captorhinoides valensis	extinct	274.4	283.3
Coelurosaurichnus sabinensis	extinct	201.4	237
Coelurosaurichnus sabinensis	extinct	237	246.7
Bolosaurus striatus	extinct	283.3	290.1
Bolosaurus major	extinct	283.3	290.1
Bolosaurus striatus	extinct	283.3	290.1
Reiszorhinus olsoni	extinct	274.4	290.1
Labidosaurus hamatus	extinct	274.4	283.3
Captorhinus aguti	extinct	274.4	283.3
Captorhinus aguti	extinct	274.4	283.3
Captorhinus aguti	extinct	274.4	283.3
Captorhinus aguti	extinct	274.4	283.3
Labidosaurus hamatus	extinct	274.4	283.3
Labidosaurus broilii	extinct	274.4	283.3
Captorhinus aguti	extinct	274.4	283.3
Labidosaurus hamatus	extinct	274.4	283.3
Araeoscelis gracilis	extinct	274.4	283.3
Captorhinus aguti	extinct	274.4	283.3
Labidosaurus hamatus	extinct	274.4	283.3
Rhynchosauroides petri	extinct	237	246.7
Rhynchosauroides virgiliae	extinct	237	246.7
Synaptichnium argantobrivense	extinct	237	246.7
Synaptichnium cameronensis	extinct	237	246.7
Chirotherium barthii	extinct	237	246.7
Brachychirotherium circaparvum	extinct	237	246.7
Brachychirotherium pachydactylum	extinct	237	246.7
Isochirotherium delicatum	extinct	237	246.7
Rotodactylus rati	extinct	237	246.7
Chirotherium ferox	extinct	237	246.7
Coelurosaurichnus perriauxi	extinct	237	246.7
Anchisauripus bibractensis	extinct	237	246.7
Deltavjatia rossicus	extinct	259.51	264.28
Rhynchosauroides sphaerodactylus	extinct	237	246.7
Dromicosuchus grallator	extinct	205.7	237
Postosuchus alisonae	extinct	205.7	237
Bolosaurus striatus	extinct	290.1	298.9
Zupaysaurus rougieri	extinct	205.7	227.3
Omphalosaurus nevadanus	extinct	237	246.7
Grippia longirostris	extinct	246.7	249.9
Coelurosaurichnus ziegelangernensis	extinct	227.3	237
Coelurosaurichnus kronbergeri	extinct	227.3	237
Tridactylus machouensis	extinct	227.3	237
Captorhinus aguti	extinct	274.4	283.3
Megapnosaurus rhodesiensis	extinct	201.4	237
