Species	Status
Aetosauripus	extinct
Aetosauroides	extinct
Aetosaurus	extinct
Ammosaurus	extinct
Anchisauripus	extinct
Angistorhinus	extinct
Anomoepus	extinct
Anomoiodon	extinct
Apatopus	extinct
Archosaurus	extinct
Argoides	extinct
Askeptosaurus	extinct
Atreipus	extinct
Barrancapus	extinct
Basutodon	extinct
Batrachopus	extinct
Bolosaurus	extinct
Boreopricea	extinct
Brachychirotherium	extinct
Bradysaurus	extinct
Bromsgroveia	extinct
Californosaurus	extinct
Callawayia	extinct
Camelotia	extinct
Captorhinikos	extinct
Captorhinus	extinct
Carmelopodus	extinct
Caseosaurus	extinct
Ceresiosaurus	extinct
Chanaresuchus	extinct
Chaohusaurus	extinct
Chasmatosuchus	extinct
Chelonipus	extinct
Chindesaurus	extinct
Chirotherium	extinct
Cladeiodon	extinct
Clevosaurus	extinct
Coahomasuchus	extinct
Coelophysis	extinct
Coelurosauravus	extinct
Coelurosaurichnus	extinct
Contectopalatus	extinct
Crosbysaurus	extinct
Cyamodus	extinct
Cymatosaurus	extinct
Cymbospondylus	extinct
Delatorrichnus	extinct
Desmatosuchus	extinct
Deuterotrisauropus	extinct
Dilophosauripus	extinct
Dimetropus	extinct
Diphydontosaurus	extinct
Doswellia	extinct
Drepanosaurus	extinct
Dromomeron	extinct
Dromopus	extinct
Embrithosaurus	extinct
Eosauropus	extinct
Erpetosuchus	extinct
Eubrontes	extinct
Eucoelophysis	extinct
Eudimorphodon	extinct
Eunotosaurus	extinct
Eusaurosphargis	extinct
Evazoum	extinct
Garjainia	extinct
Gephyrosaurus	extinct
Germanosaurus	extinct
Grallator	extinct
Gregaripus	extinct
Guaibasaurus	extinct
Guizhouichthyosaurus	extinct
Gwyneddichnium	extinct
Haligonia	extinct
Hamatopus	extinct
Herrerasaurus	extinct
Hesperosuchus	extinct
Hudsonelpidia	extinct
Hyloidichnus	extinct
Hyperodapedon	extinct
Hypsognathus	extinct
Ichthyosaurus	extinct
Ingenierichnus	extinct
Isochirotherium	extinct
Kapes	extinct
Kayentapus	extinct
Keichousaurus	extinct
Kinelia	extinct
Kuehneosaurus	extinct
Labidosaurikos	extinct
Labidosaurus	extinct
Lagosuchus	extinct
Langobardisaurus	extinct
Lariosaurus	extinct
Leptonectes	extinct
Leptosuchus	extinct
Liliensternus	extinct
Longosuchus	extinct
Lotosaurus	extinct
Lucasuchus	extinct
Macgowania	extinct
Machaeroprosopus	extinct
Mafatrisauropus	extinct
Malerisaurus	extinct
Massospondylus	extinct
Megalancosaurus	extinct
Megalosauripus	extinct
Megalosaurus	extinct
Megapnosaurus	extinct
Mehliella	extinct
Melanorosaurus	extinct
Microcnemus	extinct
Mikadocephalus	extinct
Mixosaurus	extinct
Mystriosuchus	extinct
Nectosaurus	extinct
Neusticosaurus	extinct
Nicrosaurus	extinct
Nothosaurus	extinct
Obirkovia	extinct
Omphalosaurus	extinct
Orenburgia	extinct
Otozoum	extinct
Owenetta	extinct
Ozimek	extinct
Pachypes	extinct
Pachypleurosaurus	extinct
Pachystropheus	extinct
Palacrodon	extinct
Paleollanosaurus	extinct
Pampadromaeus	extinct
Parabrontopodus	extinct
Parachirotherium	extinct
Paralonectes	extinct
Parasuchus	extinct
Parasynaptichnium	extinct
Paratypothorax	extinct
Pareiasaurus	extinct
Pengxianpus	extinct
Phaanthosaurus	extinct
Phalangichnus	extinct
Placochelys	extinct
Placodus	extinct
Planocephalosaurus	extinct
Plateosaurus	extinct
Plectropterna	extinct
Plesiosaurus	extinct
Poposaurus	extinct
Postosuchus	extinct
Procerosuchus	extinct
Prochirotherium	extinct
Procolophon	extinct
Procolophonichnium	extinct
Proganochelys	extinct
Promystriosuchus	extinct
Prorotodactylus	extinct
Proterochampsa	extinct
Proterosuchus	extinct
Protochirotherium	extinct
Protorosaurus	extinct
Protosuchus	extinct
Psephoderma	extinct
Psephosauriscus	extinct
Psephosaurus	extinct
Pseudotetrasauropus	extinct
Pterodactylus	extinct
Qianichthyosaurus	extinct
Redondasuchus	extinct
Revueltosaurus	extinct
Rhipaeosaurus	extinct
Rhynchosauroides	extinct
Rigalites	extinct
Rotodactylus	extinct
Rutiodon	extinct
Saltoposuchus	extinct
Saturnalia	extinct
Scelidosaurus	extinct
Scharschengia	extinct
Sclerosaurus	extinct
Scoloparia	extinct
Scutosaurus	extinct
Shastasaurus	extinct
Shenmuichnus	extinct
Shonisaurus	extinct
Shuvosaurus	extinct
Sigmala	extinct
Simosaurus	extinct
Smilosuchus	extinct
Spinosuchus	extinct
Stagonolepis	extinct
Stegomus	extinct
Stenaulorhynchus	extinct
Stenonyx	extinct
Steropoides	extinct
Synaptichnium	extinct
Syntarsus	extinct
Tanystropheus	extinct
Tanytrachelos	extinct
Tecovasaurus	extinct
Tecovasuchus	extinct
Temnodontosaurus	extinct
Termatosaurus	extinct
Terrestrisuchus	extinct
Tetrasauropus	extinct
Thalattosaurus	extinct
Thecodontosaurus	extinct
Tichvinskia	extinct
Ticinosuchus	extinct
Trilophosaurus	extinct
Typothorax	extinct
Utatsusaurus	extinct
Vancleavea	extinct
Variodens	extinct
Wintonopus	extinct
Xinpusaurus	extinct
Yunguisaurus	extinct
Yunnanosaurus	extinct
Zanclodon	extinct
