occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,within_range,Status
146086,occ,,,12857,Kuehneosuchus latissimus,species,252435,Rhaetian,,205.7,201.4,43837,YES,extinct
146087,occ,,,12858,Kuehneosaurus latus,species,202965,Rhaetian,,205.7,201.4,43837,YES,extinct
146660,occ,,,12942,Trilophosaurus buettneri,species,64922,Carnian,Norian,237,205.7,4290,YES,extinct
146661,occ,22906,,12942,Trilophosaurus buettneri,species,64922,Carnian,Norian,237,205.7,32141,YES,extinct
147521,occ,,,13043,Procolophon trigoniceps,species,56758,Induan,Olenekian,251.902,246.7,29612,YES,extinct
147523,occ,21597,,13044,Araeoscelis casei,species,138981,Artinskian,,290.1,283.3,28940,YES,extinct
149237,occ,,,13173,Clevosaurus hudsoni,species,247715,Carnian,,237,227.3,4380,YES,extinct
149243,occ,19539,,13174,Planocephalosaurus robinsonae,species,253695,Carnian,,237,227.3,12289,YES,extinct
149244,occ,,,13174,Sigmala sigmala,species,253698,Carnian,,237,227.3,44066,YES,extinct
149247,occ,27954,,13175,Clevosaurus minor,species,335278,Carnian,,237,227.3,12289,YES,extinct
149249,occ,19542,,13175,Planocephalosaurus robinsonae,species,253695,Carnian,,237,227.3,12289,YES,extinct
149253,occ,19545,,13175,Sigmala sigmala,species,253698,Carnian,,237,227.3,44066,YES,extinct
149254,occ,27956,,13176,Planocephalosaurus robinsonae,species,253695,Carnian,,237,227.3,12289,YES,extinct
149255,occ,27957,,13176,Clevosaurus minor,species,335278,Carnian,,237,227.3,12289,YES,extinct
149260,occ,27960,,13176,Sigmala sigmala,species,253698,Carnian,,237,227.3,44066,YES,extinct
149262,occ,,,13177,Sigmala sigmala,species,253698,Carnian,,237,227.3,44066,YES,extinct
149263,occ,,,13177,Pelecymala robustus,species,253699,Carnian,,237,227.3,44066,YES,extinct
149264,occ,,,13177,Planocephalosaurus robinsonae,species,253695,Carnian,,237,227.3,44063,YES,extinct
149290,occ,19540,,13182,Planocephalosaurus robinsonae,species,253695,Carnian,,237,227.3,12289,YES,extinct
149293,occ,19547,,13183,Planocephalosaurus robinsonae,species,253695,Carnian,,237,227.3,12289,YES,extinct
149294,occ,19548,,13183,Clevosaurus minor,species,335278,Carnian,,237,227.3,12289,YES,extinct
149620,occ,23488,,13220,Hyperodapedon mariensis,species,178417,Carnian,Norian,237,205.7,34120,YES,extinct
149845,occ,17943,,13266,Trilophosaurus buettneri,species,64922,Norian,,227.3,205.7,17273,YES,extinct
149866,occ,,,13271,Lewisuchus admixtus,species,67917,Ladinian,,241.464,237,4399,YES,extinct
149867,occ,17968,,13271,Lagerpeton chanarensis,species,66341,Ladinian,,241.464,237,13751,YES,extinct
149917,occ,34156,,13273,Postosuchus kirkpatricki,species,69074,Norian,,227.3,205.7,4400,YES,extinct
149918,occ,15726,,13273,Desmatosuchus smalli,species,71646,Norian,,227.3,205.7,16667,YES,extinct
149919,occ,38993,,13273,Trilophosaurus buettneri,species,64922,Norian,,227.3,205.7,78487,YES,extinct
149988,occ,19972,,13285,Efraasia minor,species,54997,Norian,,227.3,205.7,19481,YES,extinct
220070,occ,37935,,22680,Plateosaurus trossingensis,species,64679,Norian,,227.3,205.7,75731,YES,extinct
220082,occ,,,22683,Plateosaurus trossingensis,species,64679,Norian,,227.3,205.7,26308,YES,extinct
220083,occ,,,22683,Proganochelys quenstedtii,species,253378,Norian,,227.3,205.7,44548,YES,extinct
220086,occ,,,22684,Proganochelys quenstedtii,species,253378,Rhaetian,,205.7,201.4,34613,YES,extinct
220088,occ,,,22684,Elachistosuchus huenei,species,372798,Rhaetian,,205.7,201.4,9058,YES,extinct
229324,occ,20616,,22704,Poposaurus langstoni,species,159332,Carnian,Norian,237,205.7,14122,YES,extinct
229325,occ,27629,,22704,Otischalkia elderae,species,159207,Carnian,Norian,237,205.7,35714,YES,extinct
229332,occ,22907,,22706,Trilophosaurus buettneri,species,64922,Carnian,Norian,237,205.7,43418,YES,extinct
229337,occ,36458,,22707,Longosuchus meadei,species,159291,Carnian,Norian,237,205.7,43405,YES,extinct
229338,occ,22908,,22707,Trilophosaurus buettneri,species,64922,Carnian,Norian,237,205.7,32141,YES,extinct
229341,occ,27630,,22707,Otischalkia elderae,species,159207,Carnian,Norian,237,205.7,35714,YES,extinct
255449,occ,19255,IF,24798,Eubrontes giganteus,species,67402,Rhaetian,,205.7,201.4,23532,YES,extinct
255450,occ,19254,IF,24798,Grallator variabilis,species,96249,Rhaetian,,205.7,201.4,23532,YES,extinct
255933,occ,,IF,24834,Rotodactylus lucasi,species,82510,Anisian,Ladinian,246.7,237,17958,YES,extinct
255934,occ,18188,IF,24834,Brachychirotherium pachydactylum,species,82508,Anisian,Ladinian,246.7,237,17958,YES,extinct
255935,occ,18189,I,24834,Coelurosaurichnus perriauxi,species,82507,Anisian,Ladinian,246.7,237,17956,YES,extinct
255936,occ,,IF,24834,Chirotherium ferox,species,92023,Anisian,Ladinian,246.7,237,63494,YES,extinct
255937,occ,18190,IF,24834,Anchisauripus bibractensis,species,92019,Anisian,Ladinian,246.7,237,17957,YES,extinct
256434,occ,,,24877,Eoraptor lunensis,species,57454,Tuvalian,,233.6,227.3,6971,YES,extinct
256435,occ,,,24877,Herrerasaurus ischigualastensis,species,55000,Tuvalian,,233.6,227.3,6971,YES,extinct
256436,occ,,,24877,Saurosuchus galilei,species,119066,Tuvalian,,233.6,227.3,6971,YES,extinct
256441,occ,12145,,24878,Herrerasaurus ischigualastensis,species,55000,Carnian,,237,227.3,12426,YES,extinct
261810,occ,17808,,25298,Agnosphitys cromhallensis,species,53365,Carnian,,237,227.3,7095,YES,extinct
261854,occ,,,25307,Saturnalia tupiniquim,species,68124,Carnian,Norian,237,205.7,7097,YES,extinct
277109,occ,,,26452,Pisanosaurus mertii,species,64409,Tuvalian,,233.6,227.3,7278,YES,extinct
279623,occ,22593,,26710,Bradysaurus seeleyi,species,144595,Capitanian,,264.28,259.51,31439,YES,extinct
283819,occ,34653,,26995,Arcticodactylus cromptonellus,species,143938,Norian,,227.3,205.7,29536,YES,extinct
283826,occ,,,26998,Aetosaurus ferratus,species,156403,Norian,,227.3,205.7,7466,YES,extinct
283828,occ,12362,,26998,Plateosaurus longiceps,species,64684,Norian,,227.3,205.7,12994,YES,extinct
283860,occ,38991,,26996,Issi saaneq,species,443779,Norian,,227.3,205.7,78483,YES,extinct
284027,occ,13156,,27012,Pantydraco caducus,species,57689,Carnian,,237,227.3,10661,YES,extinct
285740,occ,,,27134,Eumetabolodon bathycephalus,species,154291,Olenekian,Anisian,249.9,241.464,7511,YES,extinct
285752,occ,,,27158,Eumetabolodon bathycephalus,species,154291,Olenekian,Anisian,249.9,241.464,7511,YES,extinct
285753,occ,,,27160,Youngetta dongshengensis,species,154293,Early Triassic,,251.902,246.7,7511,YES,extinct
286782,occ,,,27341,Belebey vegrandis,species,137776,Urzhumian,,266.9,264.28,7550,YES,extinct
287287,occ,,,27400,Rothianiscus robusta,species,120889,Roadian,Wordian,274.4,264.28,4327,YES,extinct
287715,occ,,,27475,Rothianiscus robusta,species,120889,Roadian,Wordian,274.4,264.28,4327,YES,extinct
287747,occ,,,27479,Rothianiscus robusta,species,120889,Roadian,Wordian,274.4,264.28,4327,YES,extinct
287764,occ,,,27480,Rothianiscus robusta,species,120889,Roadian,Wordian,274.4,264.28,4327,YES,extinct
287827,occ,,,27482,Rothianiscus robusta,species,120889,Roadian,Wordian,274.4,264.28,4327,YES,extinct
287904,occ,,,27485,Rothianiscus robusta,species,120889,Roadian,Wordian,274.4,264.28,4327,YES,extinct
287929,occ,,,27487,Rothianiscus robusta,species,120889,Roadian,Wordian,274.4,264.28,4327,YES,extinct
289331,occ,10147,,27573,Rothianiscus robusta,species,120889,Roadian,Wordian,274.4,264.28,4327,YES,extinct
289337,occ,,,27574,Rothianiscus robusta,species,120889,Roadian,Wordian,274.4,264.28,4327,YES,extinct
290383,occ,,,27704,Captorhinoides valensis,species,120860,Kungurian,,283.3,274.4,4326,YES,extinct
294291,occ,35728,IF,28091,Coelurosaurichnus sabinensis,species,68187,Late Triassic,,237,201.4,7692,YES,extinct
294292,occ,18187,IF,28092,Coelurosaurichnus sabinensis,species,68187,Middle Triassic,,246.7,237,7692,YES,extinct
295924,occ,,,28142,Bolosaurus striatus,species,138029,Artinskian,,290.1,283.3,7693,YES,extinct
295925,occ,,,28142,Bolosaurus major,species,138979,Artinskian,,290.1,283.3,7693,YES,extinct
295928,occ,34177,,13080,Bolosaurus striatus,species,138029,Artinskian,,290.1,283.3,53781,YES,extinct
295999,occ,25942,,28250,Reiszorhinus olsoni,species,204031,Artinskian,Kungurian,290.1,274.4,38301,YES,extinct
296008,occ,21191,,28251,Labidosaurus hamatus,species,134856,Kungurian,,283.3,274.4,28784,YES,extinct
296038,occ,,,28256,Captorhinus aguti,species,134887,Kungurian,,283.3,274.4,28342,YES,extinct
296039,occ,,,28256,Captorhinus aguti,species,134887,Kungurian,,283.3,274.4,17702,YES,extinct
296040,occ,,,28256,Captorhinus aguti,species,134887,Kungurian,,283.3,274.4,28342,YES,extinct
296041,occ,,,28256,Captorhinus aguti,species,134887,Kungurian,,283.3,274.4,7693,YES,extinct
296042,occ,,,28256,Labidosaurus hamatus,species,134856,Kungurian,,283.3,274.4,28359,YES,extinct
296043,occ,,,28256,Labidosaurus broilii,species,134855,Kungurian,,283.3,274.4,28341,YES,extinct
296060,occ,,,28264,Captorhinus aguti,species,134887,Kungurian,,283.3,274.4,28358,YES,extinct
296074,occ,21137,,28261,Labidosaurus hamatus,species,134856,Kungurian,,283.3,274.4,28359,YES,extinct
296100,occ,,,28267,Araeoscelis gracilis,species,113849,Kungurian,,283.3,274.4,4323,YES,extinct
296107,occ,21189,,28270,Captorhinus aguti,species,134887,Kungurian,,283.3,274.4,28359,YES,extinct
296109,occ,,,28270,Labidosaurus hamatus,species,134856,Kungurian,,283.3,274.4,28359,YES,extinct
297304,occ,,IF,28462,Rhynchosauroides petri,species,96622,Anisian,Ladinian,246.7,237,63494,YES,extinct
297305,occ,,IF,28462,Rhynchosauroides virgiliae,species,378529,Anisian,Ladinian,246.7,237,7850,YES,extinct
297306,occ,,IF,28462,Synaptichnium argantobrivense,species,381700,Anisian,Ladinian,246.7,237,7850,YES,extinct
297307,occ,,IF,28462,Synaptichnium cameronensis,species,194833,Anisian,Ladinian,246.7,237,7850,YES,extinct
297308,occ,,IF,28462,Chirotherium barthii,species,85727,Anisian,Ladinian,246.7,237,63494,YES,extinct
297309,occ,,IF,28462,Brachychirotherium circaparvum,species,331055,Anisian,Ladinian,246.7,237,7850,YES,extinct
297310,occ,,IF,28462,Brachychirotherium pachydactylum,species,82508,Anisian,Ladinian,246.7,237,7850,YES,extinct
297311,occ,,IF,28462,Isochirotherium delicatum,species,381674,Anisian,Ladinian,246.7,237,7850,YES,extinct
297313,occ,,IF,28462,Rotodactylus rati,species,331050,Anisian,Ladinian,246.7,237,8459,YES,extinct
297314,occ,,IF,28462,Chirotherium ferox,species,92023,Anisian,Ladinian,246.7,237,63494,YES,extinct
