clade	species	ts	te
0.0	Aetosauripus	249.1590353163214	248.16180258969175
0.0	Aetosauroides	231.73724025113694	230.3903829732188
0.0	Aetosaurus	223.95762796008086	221.251099188479
0.0	Ammosaurus	201.83567134714502	199.62509772764022
0.0	Anchisauripus	242.03410705861546	199.28244072915612
0.0	Angistorhinus	236.6704242935826	213.09575273926225
0.0	Anomoepus	234.35409896311268	199.44098209600807
0.0	Anomoiodon	246.33485621677616	245.49894461748357
0.0	Apatopus	234.21754137998988	203.14657021222837
0.0	Archosaurus	258.3595502117231	257.035422505811
0.0	Argoides	199.96834262354724	199.28349886912582
0.0	Askeptosaurus	239.4506124623547	238.08273252602325
0.0	Atreipus	251.39502731783728	205.41401950682163
0.0	Barrancapus	212.8006192824659	211.5584060626579
0.0	Basutodon	227.96186481758465	201.37601374785245
0.0	Batrachopus	242.73754261950478	198.87735371298638
0.0	Bolosaurus	310.0639552334512	277.3203732228398
0.0	Boreopricea	249.89289574936836	249.08668697372408
0.0	Brachychirotherium	248.09187472713492	201.6999134057605
0.0	Bradysaurus	277.2309961243052	256.2493480485094
0.0	Bromsgroveia	244.00024525972714	243.10121052248613
0.0	Californosaurus	234.94502138756948	232.1522485133906
0.0	Callawayia	216.52676970843862	211.5561673001516
0.0	Camelotia	203.66948045123797	202.70672948964122
0.0	Captorhinikos	297.55920558463873	285.7510366023244
0.0	Captorhinus	288.25522907983833	272.68376346235476
0.0	Carmelopodus	200.07410465032845	199.5203400621526
0.0	Caseosaurus	221.46767312632642	219.6372244441637
0.0	Ceresiosaurus	241.47123943001515	239.47853081808998
0.0	Chanaresuchus	239.9981015118747	238.57403006013138
0.0	Chaohusaurus	247.8094682829712	247.02884140121273
0.0	Chasmatosuchus	252.34674115613947	246.51632622081857
0.0	Chelonipus	248.3563407625063	246.35658765133905
0.0	Chindesaurus	225.85986238352703	223.67098481657405
0.0	Chirotherium	275.75086101061146	201.6169463804952
0.0	Cladeiodon	242.82650851945425	241.74196625164225
0.0	Clevosaurus	238.42007939615965	199.08137578928753
0.0	Coahomasuchus	217.62413750833755	214.98772591763517
0.0	Coelophysis	234.37039551743305	200.1919643183426
0.0	Coelurosauravus	257.68552870995455	255.05145467357252
0.0	Coelurosaurichnus	250.5158339646286	215.56831760232438
0.0	Contectopalatus	241.62437018342598	240.64472137443155
0.0	Crosbysaurus	233.5691993254169	212.55177415967663
0.0	Cyamodus	241.4742773713997	231.67910614754925
0.0	Cymatosaurus	246.73359297726125	243.18315805659424
0.0	Cymbospondylus	249.0542788645781	237.61736797877717
0.0	Delatorrichnus	201.23370716624558	200.64807915613946
0.0	Desmatosuchus	233.1997840636685	205.1714621328954
0.0	Deuterotrisauropus	200.3572449984841	199.59588399444164
0.0	Dilophosauripus	203.4538936184942	199.17913678524508
0.0	Dimetropus	250.31175501515915	249.62857202223347
0.0	Diphydontosaurus	237.28316981657403	201.93691524052554
0.0	Doswellia	233.44589726932793	207.5579014775139
0.0	Drepanosaurus	204.10776043607882	203.10358099090448
0.0	Dromomeron	222.20012915563413	208.55777720060638
0.0	Dromopus	258.80097969934315	251.83871624557858
0.0	Embrithosaurus	265.4102276331481	258.3653430267812
0.0	Eosauropus	234.56596560636686	200.74815913289538
0.0	Erpetosuchus	217.56317038352705	216.00617980899443
0.0	Eubrontes	249.4757727513896	198.91097037493682
0.0	Eucoelophysis	203.44860722890348	202.6233541086407
0.0	Eudimorphodon	225.38820788125318	200.9396213789793
0.0	Eunotosaurus	264.9719223284487	262.56203852753913
0.0	Eusaurosphargis	246.71497409348154	242.62004333552298
0.0	Evazoum	234.92159524861043	200.85044772006066
0.0	Garjainia	248.45005367054068	246.3619326382011
0.0	Gephyrosaurus	204.47058732996462	203.32090759676606
0.0	Germanosaurus	243.68714976301163	242.71410966043456
0.0	Grallator	249.45459164173826	199.27323357958565
0.0	Gregaripus	218.36836202223344	214.65035033804952
0.0	Guaibasaurus	220.09500946437595	217.1511540414351
0.0	Guizhouichthyosaurus	240.53108979282467	237.67613014855988
0.0	Gwyneddichnium	226.86903611723096	202.323996548762
0.0	Haligonia	204.03474748004044	203.3096968605356
0.0	Hamatopus	252.53177300505305	247.842149591713
0.0	Herrerasaurus	233.67113954825672	232.2826437908034
0.0	Hesperosuchus	219.08049241788785	208.81358858160687
0.0	Hudsonelpidia	209.68419163264275	207.64517180090954
0.0	Hyloidichnus	260.8236475108641	251.22484412076804
0.0	Hyperodapedon	237.22323726225363	206.27424555179383
0.0	Hypsognathus	242.26120494037394	178.06657617483577
0.0	Ichthyosaurus	230.22860298888327	198.7945827347145
0.0	Ingenierichnus	253.5958236371905	252.4524507286508
0.0	Isochirotherium	249.15903040929763	240.1998556093987
0.0	Kapes	249.13446121020718	248.125238085902
0.0	Kayentapus	226.96601052248613	199.02971786003033
0.0	Keichousaurus	239.76516314754926	236.4450643183426
0.0	Kinelia	267.550307054573	265.80658080394136
0.0	Kuehneosaurus	237.31009708842848	209.77913284689237
0.0	Labidosaurikos	277.8010865972713	276.78823702728647
0.0	Labidosaurus	284.32076289843354	273.4071788746842
0.0	Lagosuchus	240.43319198130365	239.24573692925722
0.0	Langobardisaurus	214.74603575795857	212.5593505492673
0.0	Lariosaurus	239.3580571596766	236.61774564982315
0.0	Leptonectes	203.79021017988887	202.86988613693785
0.0	Leptosuchus	231.7406094780192	205.58013335775647
0.0	Liliensternus	225.4912633072259	201.86395131328956
0.0	Longosuchus	216.7358326568974	214.8597203001516
0.0	Lotosaurus	243.73679191712984	242.71896099797877
0.0	Lucasuchus	239.31947297574533	224.21650093431026
0.0	Macgowania	214.8884610096008	212.01030481758465
0.0	Machaeroprosopus	230.2124949984841	203.08552079434054
0.0	Mafatrisauropus	200.8401708772107	200.1814239282466
0.0	Malerisaurus	224.39798696311266	209.4916333628095
0.0	Massospondylus	237.41442136584132	222.10236045881757
0.0	Megalancosaurus	216.83524824962103	204.7580029989894
0.0	Megalosauripus	200.44110080394137	199.74330207579584
0.0	Megalosaurus	204.40755744618494	202.9105125416877
0.0	Megapnosaurus	200.6800625017686	199.96836846791305
0.0	Mehliella	232.86930701718038	230.41996106417386
0.0	Melanorosaurus	224.5382817003537	200.80107675745327
0.0	Microcnemus	252.49644395755433	246.47902791308744
0.0	Mikadocephalus	241.39528496715516	240.5036972915614
0.0	Mixosaurus	245.24656357402728	206.64210831480545
0.0	Mystriosuchus	215.9096756129358	199.42251261849418
0.0	Nectosaurus	237.51770325012635	222.61351921879736
0.0	Neusticosaurus	244.4488160449722	238.94629288782212
0.0	Nicrosaurus	228.68228859171296	209.64199892268823
0.0	Nothosaurus	247.25805758009093	202.72204133350175
0.0	Obirkovia	258.69355067710967	257.0276644931784
0.0	Omphalosaurus	250.50631229004546	236.28346931227895
0.0	Orenburgia	247.7478054436584	246.30028816270845
0.0	Otozoum	230.70175352147547	198.8406588443658
0.0	Owenetta	250.0592343006569	248.07509140929764
0.0	Ozimek	232.4785700166751	230.79502562860029
0.0	Pachypes	256.75775913744314	252.52988736584135
0.0	Pachypleurosaurus	240.31281607832238	238.8009472304194
0.0	Pachystropheus	203.52337859474483	202.80703613137948
0.0	Palacrodon	217.57863492673067	212.90512266851945
0.0	Paleollanosaurus	203.17112116068722	202.45592765538152
0.0	Pampadromaeus	234.03381249216778	232.71864734259725
0.0	Parabrontopodus	201.4851346983325	199.95957045022737
0.0	Parachirotherium	236.92150848206165	229.02312674178876
0.0	Paralonectes	242.75236299747348	241.8346473370389
0.0	Parasuchus	253.04009785042953	206.52851097473473
0.0	Parasynaptichnium	242.7222504340576	241.80492518898433
0.0	Paratypothorax	225.66427505457298	206.0878290080849
0.0	Pareiasaurus	258.1773093431026	255.3110918226377
0.0	Pengxianpus	218.61981824406266	216.85254791611925
0.0	Phaanthosaurus	251.68943799646289	250.5303605583628
0.0	Phalangichnus	244.81342464830723	237.9522382491157
0.0	Placochelys	224.77378955836284	200.7938316912582
0.0	Placodus	248.26195262657907	232.83483713491663
0.0	Planocephalosaurus	236.6189197347145	202.0964246189995
0.0	Plateosaurus	227.87571926275896	199.73803132592218
0.0	Plectropterna	201.42169030166752	200.788444360283
0.0	Plesiosaurus	203.5527529196564	199.3835726291056
0.0	Poposaurus	204.00039773067206	203.3069971945427
0.0	Postosuchus	233.85811223143003	200.9499206457807
0.0	Procerosuchus	220.48550654775138	219.22124156291056
0.0	Prochirotherium	253.91320792268823	252.59468668216275
0.0	Procolophon	252.33501786053563	248.04737756291055
0.0	Procolophonichnium	263.5401112162708	213.00656929661443
0.0	Proganochelys	213.74833534461848	211.8519866639717
0.0	Promystriosuchus	228.0088323698838	225.48870416725617
0.0	Prorotodactylus	250.42589511773622	249.2726336902476
0.0	Proterochampsa	231.73562402122283	230.21114674077816
0.0	Proterosuchus	249.37937330267812	248.37876769530067
0.0	Protochirotherium	253.42156656998483	246.72557897928246
0.0	Protorosaurus	256.6589338676099	255.12716679636182
0.0	Protosuchus	200.37732721627083	199.74829947397677
0.0	Psephoderma	243.08275509247093	241.62447057958565
0.0	Psephosauriscus	239.87296943759475	238.8631495391612
0.0	Psephosaurus	244.93134760535625	236.8772742122284
0.0	Pseudotetrasauropus	235.06115299797875	201.22214832996463
0.0	Pterodactylus	199.890410689237	199.38660391965638
0.0	Qianichthyosaurus	239.34837383324913	235.48986827185448
0.0	Redondasuchus	221.52624036483073	208.48750700454778
0.0	Revueltosaurus	234.89524721728145	208.7310296189995
0.0	Rhipaeosaurus	268.2112404618494	260.61782536331486
0.0	Rhynchosauroides	260.04197093279436	201.4573332733704
0.0	Rigalites	207.79075619353208	206.28457504749875
0.0	Rotodactylus	249.84814226073777	216.20292233855483
0.0	Rutiodon	236.20177069681657	206.0042096013138
0.0	Saltoposuchus	217.0402260474987	215.0377969813037
0.0	Saturnalia	234.78229377463364	231.71207481000505
0.0	Scelidosaurus	201.24182667155128	200.54957269479536
0.0	Scharschengia	247.65255136533602	246.46957486457808
0.0	Sclerosaurus	246.57320024557856	245.56446975593735
0.0	Scoloparia	203.58705567761496	202.6583203880748
0.0	Scutosaurus	265.99779481000496	257.5602899813037
0.0	Shastasaurus	232.08144454775137	229.20767765285498
0.0	Shenmuichnus	253.4570987609904	192.3208554669025
0.0	Shonisaurus	237.42461961243055	201.4604707614957
0.0	Shuvosaurus	228.20211966296108	201.73202144972205
0.0	Sigmala	238.16918594441637	227.32744616472965
0.0	Simosaurus	254.3746781622031	197.75402379434055
0.0	Smilosuchus	213.96794197422938	212.85874331783725
0.0	Spinosuchus	232.5021312283982	230.9013904360788
0.0	Stagonolepis	226.84504281556343	205.7356295118747
0.0	Stegomus	229.46539313996968	197.30319186407277
0.0	Stenaulorhynchus	246.90135306366852	241.43253422182917
0.0	Stenonyx	202.26547677463367	199.94869912935823
0.0	Steropoides	200.81050939514904	200.1516721910056
0.0	Synaptichnium	251.77510876553814	228.34055413340073
0.0	Syntarsus	205.09807714350683	203.3896116270844
0.0	Tanystropheus	248.16959270237493	199.7789621970692
0.0	Tanytrachelos	223.53014582213243	208.6509727518949
0.0	Tecovasaurus	220.60203572157656	217.5202576811521
0.0	Tecovasuchus	234.15771424153613	214.13394730469938
0.0	Temnodontosaurus	200.63894215159172	200.0926411328954
0.0	Termatosaurus	202.8055517534108	202.06254164123297
0.0	Terrestrisuchus	236.7924315295604	227.0707882733704
0.0	Tetrasauropus	246.05912928347652	200.55345336786255
0.0	Thalattosaurus	243.5560766553815	231.20524474633655
0.0	Thecodontosaurus	257.80499171197573	201.33137063062154
0.0	Tichvinskia	251.95672763163213	247.61307699494697
0.0	Ticinosuchus	242.36582393936334	241.46753392016169
0.0	Trilophosaurus	236.52643661546233	204.86698634310255
0.0	Typothorax	227.98066659575545	210.365368628095
0.0	Utatsusaurus	250.18010677463366	246.8110834795351
0.0	Vancleavea	232.7555802642749	206.51193629257202
0.0	Variodens	204.40962953309753	200.52968763769582
0.0	Wintonopus	200.41855572410307	199.74632632996463
0.0	Xinpusaurus	238.97026646639716	237.68386209600808
0.0	Yunguisaurus	238.84888422182922	237.8014094158666
0.0	Yunnanosaurus	201.05206106467912	200.358889915614
0.0	Zanclodon	203.511081237999	202.59695730368875
